"","global.balance.Taxa","global.balance.Group"
"1","c281b48a9ac15ab8db31d16fd7f6061a","NUM"
"2","ac497e41b16230691a63a326f1520573","DEN"
"3","X67b1a0b8a0351166d4e8978b1640913a","DEN"
"4","X861046dc390acf5d219614c8471a9a35","NUM"
"5","fc09aae0332019d4c733aeeaffb3ab07","DEN"
"6","X54a82865c7fb0a242e0e52c1629dcfa1","DEN"
"7","X6621ec621365d2e452925f53b69d7fa8","NUM"
"8","X0ab462899af75a39915e9dc4a0b872c2","NUM"
"9","fa479e1e8d76ccfafce1e9c8b17399a1","NUM"
"10","eaf307555b1ef040e7155ad169ba3637","DEN"
"11","b726c83a8023ca819ac68b75921d588e","NUM"
"12","ba63b0f31c182217ace0bd6fc39b027b","NUM"
"13","X931bb825089e4e983501f63d6b0ab6e2","DEN"
"14","X663353c380a5a14d9f0b5afdb3afbe08","NUM"
"15","e7d24fb78850aa4194897270760d7f9f","DEN"
"16","X020dfe956e6e2e235703c7a5d833ec20","DEN"
"17","X20ff23552df9cf3f03ec93dfd095b42c","DEN"
"18","X10819d4184b7fe808f57b65a0e9174d1","NUM"
"19","e6bb66b5a45fe0fda71582bc237bd3df","DEN"
"20","X99a30d2e520c0bb462c9d36594b679ef","DEN"
