"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21","X83b3780d81b53c75005807be459eb58c","X3a2c7d75cfe5ecf2bb7365399890fdb4","f7e4d6e9e0a0370a86c8c5fd06c3abbb","X3e5948251286e38076a2b64de3ce2c04","X0c897461dd87a51b819cb5cd2673b1cc","X53976109a60d93a15b345e47740ea7bd","e6463a720ccb096471a4b7b4ca2757b0","X66dab50962e1791cd3e6ab748e873c55","ed9923136d584bc3ff8524cd9eebdc93","c752f8a0b6dc047724cdb7f5f861aa35","ed33772a1caee90939081a3385e863b9","X74102cb314b4c3ba9f7dc88e4be09649","X2988a53743a50b6579198acf6a5cb70e","c3492868939e3115d88cd6bcd520726d","X264b149f3c269c37a1309792a8ca5ecc","X3c0f10bb5340d817636f203a0e132fdd","e9b701f61b7096cb0d7bb24cb2ba68e2","e7d24fb78850aa4194897270760d7f9f","c281b48a9ac15ab8db31d16fd7f6061a","ac497e41b16230691a63a326f1520573","X67b1a0b8a0351166d4e8978b1640913a","X861046dc390acf5d219614c8471a9a35","fc09aae0332019d4c733aeeaffb3ab07","X54a82865c7fb0a242e0e52c1629dcfa1","X0ab462899af75a39915e9dc4a0b872c2","fa479e1e8d76ccfafce1e9c8b17399a1","eaf307555b1ef040e7155ad169ba3637","b726c83a8023ca819ac68b75921d588e","ba63b0f31c182217ace0bd6fc39b027b","X931bb825089e4e983501f63d6b0ab6e2","X663353c380a5a14d9f0b5afdb3afbe08","X020dfe956e6e2e235703c7a5d833ec20","X20ff23552df9cf3f03ec93dfd095b42c","X10819d4184b7fe808f57b65a0e9174d1","e6bb66b5a45fe0fda71582bc237bd3df","X99a30d2e520c0bb462c9d36594b679ef"
"L.2016.NAM-0.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0241272743732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.03619091156,0,0,0,0,0,0,0,0,120.03619091156,0,0,120.03619091156
"L.2016.NAM-0.02.R",683.181439326656,0,0,341.590719663328,0,0,0,0,0,0,0,0,0,0,0,0,211.231439687483,0,0,0,0,0,0,0,0,0,0,478.227007528659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818.09917731012,0,0,211.231439687483,528.078599218708,0,0,7436.85547299717,0,422.462879374966
"L.2016.NAM-0.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16149.7280322841,0,0,0,0,0,0,1243.57986517508,927.02247334231,9991.0496846575
"L.2016.NAM-0.04.R",0,0,0,93.2358552466729,0,0,0,0,0,41078.9222575487,0,0,826.792201282561,0,0,3805.26069224437,10913.2739264386,0,0,0,0,0,0,0,3450.71261883615,0,0,0,1303.71014177848,0,0,0,0,0,5512.42657773726,0,434.570047259493,10613.2895802691,0,3923.78605258423,0,0,0,5139.22415351313,0,434.570047259493,0,0,0,1738.28018903797,2974.17971525159,852.505834336804,35010.8889728257,52977.3008641976,0,0,4528.06788972156,2261.12227714705,0,1466.45036523779,1266481.994914,852.505834336804,188921.304378662
"L.2016.NAM-0.05.R",0,0,0,0,0,0,0,0,0,1235.17309792993,0,0,0,0,0,213.254002844275,743.94037317909,0,0,0,0,0,0,0,224.82488249387,0,0,0,0,0,0,0,0,0,1329.16456261291,0,0,0,0,0,0,0,0,1136.71422015009,0,0,0,0,0,0,213.254002844275,0,0,213.254002844275,0,0,0,0,0,272.714876596518,42581.4972245323,0,33786.2257962523
"L.2016.NAM-0.06.R",0,0,0,1915.84644490744,0,0,0,0,0,0,0,0,0,0,0,311.85598490617,103.951994968723,0,0,0,0,0,455.687261832205,0,0,0,0,207.903989937447,0,0,0,0,207.903989937447,0,519.759974843617,0,0,0,0,0,0,0,0,0,0,415.807979874894,0,0,0,0,103.951994968723,0,2554.46192654325,4722.55030906297,0,0,0,0,0,103.951994968723,27256.5772829872,0,4351.4528646585
"L.2016.NAM-0.07.R",0,0,0,0,0,0,0,0,0,0,0,0,0,183.495076597726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.990153195452,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.227021549145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.409007183048,0,0,427.959293938492,0,0,0,0,0,0,1054.40138751177,103.409007183048,0
"L.2016.NAM-0.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.229072064894,31.0191015627423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0382031254847,0,655.050438883794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.696986818564,0,342.426552545567,2900.59010495526,0,0,0,0,0,275.171767376667,4165.41399069616,62.0382031254847,6388.97586362541
"L.2016.NAM-0.10.R",67.4389551008297,0,0,0,0,0,0,0,0,174.966009207586,0,0,0,0,0,235.368189400782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.912126267188,0,0,0,0,0,0,0,0,0,0,0,0,0,641.54203376115,0,0,0,0,0,0,0,0,233.288012276782,1051.87623236952,0,758.18603989954
"L.2016.NAM-13.01.R",0,0,0,462.188636514636,0,0,0,0,0,0,0,0,0,0,0,0,1386.56590954391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386.56590954391,0,0,0,0,0,0,0,0,563.840884102506,563.840884102506,0,0
"L.2016.NAM-13.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3239.52217047985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.252911407091,0,0,0,0,0,0,843.758734221272,0,0
"L.2016.NAM-13.03.R",0,0,0,20025646.217183,0,0,0,0,0,0,0,0,0,0,0,0,5399.20361746642,0,0,0,0,0,0,0,839.310925729976,0,0,0,0,0,0,0,0,0,11278.0134782071,0,0,0,0,0,0,0,0,0,0,0,1798.52341227852,0,0,0,37794.425322265,0,16557.315534855,1199.01560818568,0,0,0,0,0,0,983254.566182982,0,5998.71142155926
"L.2016.NAM-13.04.R",0,0,0,628.478727959055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.492909319685,0,0,0,0,0,0,0,0,0,0,0,0,1526.30548218628,0,0,523.732273299212,0,0,0,0,0,0,0,1212.06611820675,0,0,0,0,1152.21100125827,0,0,0,0,0,0,0,0,837.97163727874,5466.80016326665,0,314.239363979527
