"","kingdom","phylum","class","order","family","genus","species"
"1be3040a07470cf9fed81a07fcedddb1","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon","uncultured Chloroflexi bacterium"
"a3bbbfb3d508779f0eefe022f360439b","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"82be92ac7a97d1070a58ef86f107429d","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia plymuthica"
"27167829ca8b62f4a9586c013496dac3","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"fa479e1e8d76ccfafce1e9c8b17399a1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter",NA
"10819d4184b7fe808f57b65a0e9174d1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"6c2590cbc50995cfecc3fe26e4ea25d0","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","Ambiguous_taxa"
"99a30d2e520c0bb462c9d36594b679ef","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"3b08eb12834b4469507d039809d02b0c","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","uncultured Verrucomicrobia bacterium"
"47bd7502eafbec37ab5c5edc2c30ea92","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA
"8ea74167ca59e3ecd62b63c0cdfa33be","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium faecium"
"a1b4defc70eaa6536f50e3d09eb72c5f","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"dc0b501ac21c95ad59a77a0337a813d5","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella",NA
"814f76b213af11a078e098bdb1f1036c","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"5baba3a494a495a1f8289011e592f2ed","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",NA
"add96da95e233879db152d4b04f12dbb","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"90c8784ec39588e5031c9e4950c88efa","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"9c3065fb37b020097a1aae0ea773a58e","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"76de1c3009169b31fee0630da52b5a8a","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus",NA
"3c192685a3b3415808bcc2661d6ba503","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter",NA
"48fd883a84f1327e7cca29a2fd9f12ea","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA
"24d0d7e63f6d899f90d877b56461b829","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","uncultured soil bacterium"
"f3c535d3d37eef1e7ddab402493ace5b","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","Ambiguous_taxa"
"eaf307555b1ef040e7155ad169ba3637","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"a2d3cbedc2c700d824119320ba51cfb1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Promicromonospora",NA
"7b524255aba9f13913a125b53d370457","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA
"98dc0827b57b6342dcb99852425de2b7","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"b63a80cf0a07ff0e1f1c936dca211efd","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas","Pseudoxanthomonas mexicana"
"0a738898234f92c26396aa0fdf55923c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer",NA
"8f533d6297baa6858a8aacc3c6185554","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","uncultured Actinomycetales bacterium"
"83d8b9cae0b5b89936c5b14d40d8155b","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",NA
"ce165a2d9da623f8cf47e6946139fce2","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Galbitalea","uncultured bacterium"
"a528098b9f29a36a001fd7430827b98d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured Verrucomicrobia bacterium"
"dfadbc7d190ee07c371e3156dadea6d5","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"a34e0fd29297cf5ea2fb9f2b9c0d8b70","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Sanguibacteraceae","Sanguibacter","Ambiguous_taxa"
"34f8971ed4f2a43d8dcdcdbdd69c08fd","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",NA
"9228730f3bfab4dcaf7daf45ef4260c1","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","uncultured bacterium"
"e5400356daabbc5a41f935af70513043","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
"379b7504dd07d245f509efdfb6620b34","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"e490b458e7d1477b3d791edec263f981","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Variovorax",NA
"66dab50962e1791cd3e6ab748e873c55","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium pectinovorum"
"b3e9d2a870af50d242814cfd439328b2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga",NA
"a5e06facaa03b9615e5fabb50f66c815","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA
"785997d616149dcb19845475565087e4","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"2a80d15a4ffc773509a0d121d47ab997","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA
"969980a04efcccb9065293f24980337d","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",NA
"afcb56aa946de13754c70e95e35aa02e","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncultured","Aquimonas sp. enrichment culture clone 03SUJ1"
"b8111bf735a8aca28b7d22a81c0e67eb","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes",NA
"e548244f25ea8a11e3aee1c964d21522","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon","uncultured Chloroflexi bacterium"
