"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21"
"L.2016.NAM-0.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0241272743732,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.02.R",683.181439326656,0,0,341.590719663328,0,0,0,0,0,0,0,0,0,0,0,0,211.231439687483,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.04.R",0,0,0,93.2358552466729,0,0,0,0,0,41078.9222575487,0,0,826.792201282561,0,0,3805.26069224437,10913.2739264386,0,0,0,0,0,0,0,3450.71261883615,0,0
"L.2016.NAM-0.05.R",0,0,0,0,0,0,0,0,0,1235.17309792993,0,0,0,0,0,213.254002844275,743.94037317909,0,0,0,0,0,0,0,224.82488249387,0,0
"L.2016.NAM-0.06.R",0,0,0,1915.84644490744,0,0,0,0,0,0,0,0,0,0,0,311.85598490617,103.951994968723,0,0,0,0,0,455.687261832205,0,0,0,0
"L.2016.NAM-0.07.R",0,0,0,0,0,0,0,0,0,0,0,0,0,183.495076597726,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.227021549145,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.229072064894,31.0191015627423,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-0.10.R",67.4389551008297,0,0,0,0,0,0,0,0,174.966009207586,0,0,0,0,0,235.368189400782,0,0,0,0,0,0,0,0,0,0,0
