"","X83b3780d81b53c75005807be459eb58c","X3a2c7d75cfe5ecf2bb7365399890fdb4","f7e4d6e9e0a0370a86c8c5fd06c3abbb","X3e5948251286e38076a2b64de3ce2c04","X0c897461dd87a51b819cb5cd2673b1cc","X53976109a60d93a15b345e47740ea7bd","e6463a720ccb096471a4b7b4ca2757b0","X66dab50962e1791cd3e6ab748e873c55","ed9923136d584bc3ff8524cd9eebdc93","c752f8a0b6dc047724cdb7f5f861aa35","ed33772a1caee90939081a3385e863b9","X74102cb314b4c3ba9f7dc88e4be09649","X2988a53743a50b6579198acf6a5cb70e","c3492868939e3115d88cd6bcd520726d","X264b149f3c269c37a1309792a8ca5ecc","X3c0f10bb5340d817636f203a0e132fdd","e9b701f61b7096cb0d7bb24cb2ba68e2","e7d24fb78850aa4194897270760d7f9f"
"L.2016.NAM-0.06.R",207.903989937447,0,0,0,0,207.903989937447,0,519.759974843617,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-13.06.R",426.366252163661,0,0,0,0,0,0,142.122084054554,94.7480560363691,0,301.716221422043,0,0,0,0,0,0,0
"L.2016.NAM-14.06.R",106.499533398919,0,0,0,0,0,0,0,106.499533398919,319.498600196758,1360.68907135171,0,0,0,0,0,0,0
"L.2016.NAM-17.06.R",0,0,0,0,0,0,0,111.428217246024,0,0,180.997276895969,0,0,0,0,0,0,0
"L.2016.NAM-23.06.R",1808.87024747606,0,3041.37216574211,0,0,0,0,3708.48341289273,136.114376910918,0,90.7429179406122,0,0,0,0,0,0,0
"L.2016.NAM-30.06.R",472.68308823325,111.219550172529,0,0,452.79217122336,111.219550172529,0,2228.24199804042,0,673.031626571187,398.591526795667,0,0,0,0,0,0,0
"L.2016.NAM-32.06.R",0,0,0,0,77.8731290980734,0,0,0,0,0,0,0,274.370200370631,0,0,0,0,0
"L.2016.NAM-37.06.R",116.074084284294,0,0,0,0,0,0,507.953406299888,116.074084284294,245.983045618581,265.272117142003,0,116.074084284294,0,0,0,0,0
"L.2016.NAM-43.06.R",0,0,0,0,127.540242932278,0,0,0,0,1669.07465457978,207.178743460921,0,0,0,0,0,0,0
"L.2016.NAM-46.06.R",0,0,0,0,0,2375.64959168523,0,0,0,0,0,0,0,0,0,0,2375.64959168523,0
"L.2016.NAM-48.06.R",0,0,0,0,0,0,0,0,0,0,304.154522663694,0,0,0,0,0,0,0
"L.2016.NAM-5.06.R",0,0,0,0,0,0,0,112.176528463626,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-72.06.R",0,0,0,0,0,0,0,0,0,0,258.3725629008,0,0,0,0,0,206.69805032064,0
"L.2016.NAM-76.06.R",0,0,0,0,0,0,0,0,0,0,573693.966839135,0,0,0,0,0,0,0
"L.2016.NAM-79.06.R",0,0,0,0,937.756417770484,0,0,4831.78567226908,0,0,0,0,876.264193654387,0,0,0,0,0
"L.2016.YN04-C1213.06.R",0,0,65.4689396936954,0,0,0,0,0,0,0,130.937879387391,0,0,0,0,0,0,0
"L.2017.NAM-0.06.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2017.NAM-13.06.R",1134.8644546267,0,0,0,203.27863020695,0,0,203.27863020695,0,0,0,0,0,0,0,0,0,0
