"","c281b48a9ac15ab8db31d16fd7f6061a","ac497e41b16230691a63a326f1520573","X67b1a0b8a0351166d4e8978b1640913a","X861046dc390acf5d219614c8471a9a35","fc09aae0332019d4c733aeeaffb3ab07","X54a82865c7fb0a242e0e52c1629dcfa1","X6621ec621365d2e452925f53b69d7fa8","X0ab462899af75a39915e9dc4a0b872c2","fa479e1e8d76ccfafce1e9c8b17399a1","eaf307555b1ef040e7155ad169ba3637","b726c83a8023ca819ac68b75921d588e","ba63b0f31c182217ace0bd6fc39b027b","X931bb825089e4e983501f63d6b0ab6e2","X663353c380a5a14d9f0b5afdb3afbe08","e7d24fb78850aa4194897270760d7f9f","X020dfe956e6e2e235703c7a5d833ec20","X20ff23552df9cf3f03ec93dfd095b42c","X10819d4184b7fe808f57b65a0e9174d1","e6bb66b5a45fe0fda71582bc237bd3df","X99a30d2e520c0bb462c9d36594b679ef"
"L.2016.NAM-0.09.R",0,0,0,0,0,602.696986818564,0,0,342.426552545567,2900.59010495526,0,0,0,0,0,0,275.171767376667,4165.41399069616,62.0382031254847,6388.97586362541
"L.2016.NAM-13.09.R",271.813454426227,0,0,0,0,96.9652894565399,0,0,533.309092010969,271.813454426227,0,0,0,96.9652894565399,0,0,0,2677.29806006483,135.906727213114,0
"L.2016.NAM-14.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,284.395402037338,0,0,0,2421.91853593976,0,0
"L.2016.NAM-17.09.R",0,0,0,0,0,1773.46499128778,0,0,0,862.630035191824,0,0,0,0,0,0,0,12740.0844969776,0,270.78072853555
"L.2016.NAM-23.09.R",0,0,0,0,0,621.626583083792,0,0,0,312.402780905421,0,0,0,0,0,0,0,494.745386242901,0,388.51661442737
"L.2016.NAM-30.09.R",0,0,0,0,0,1508.74982758613,0,0,0,2781.88075586417,0,0,50.3457811179407,0,0,0,0,4465.80142291673,600.090358535054,2429.46028803859
"L.2016.NAM-32.09.R",0,0,0,0,1353.90364267775,0,0,0,1893.4921982659,2271.79605762248,0,0,165.948822765966,0,0,0,541.5614570711,7356.94962993855,0,1622.71146973035
"L.2016.NAM-37.09.R",0,0,0,0,0,107941.331272962,0,0,71269.4877505568,0,0,0,0,0,0,0,0,785001.464903252,35634.7438752784,0
"L.2016.NAM-43.09.R",0,0,0,0,0,1594.16427816487,0,0,54.5207219634002,641.320396556308,0,0,0,0,0,0,975.626115681818,7105.35168060506,175.298689423219,0
"L.2016.NAM-46.09.R",0,0,0,0,0,1704.85631251302,0,0,0,918.421233898928,0,0,0,0,0,0,0,1829.87613986389,0,459.210616949464
"L.2016.NAM-48.09.R",0,0,0,0,0,0,0,0,81.6748656320843,217.690567345772,0,0,0,142.767403346468,0,0,0,353.525141843951,95.1782688976453,1087.72832786682
"L.2016.NAM-5.09.R",0,0,0,0,0,1183.26780224109,0,0,0,552.699725684228,0,0,0,0,0,0,0,26237.0127364021,250.713488803553,2022.76378613425
